Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
86,Alcorn State,10,4,6,.400,-13.57,5.76,0,0,4,0,0,6,786,717,,73.8,105.2,.238,.419,.532,53.0,53.7,12.9,8.9,.508,16.6,34.0,.170
87,Nevada,13,8,5,.615,8.44,4.05,1,0,4,2,1,2,992,935,,72.6,105.1,.312,.419,.555,51.4,55.8,7.0,9.4,.522,15.3,24.5,.231
88,Marquette,11,9,2,.818,13.02,3.39,0,0,6,0,1,1,840,734,,73.5,103.8,.434,.419,.562,52.9,58.4,7.0,12.6,.522,18.1,27.4,.311
89,Ohio State,12,11,1,.917,25.24,3.49,1,1,8,0,1,1,950,689,,67.9,116.7,.405,.418,.607,56.0,58.7,7.2,11.7,.576,16.7,34.1,.296
90,Southern Illinois,13,6,7,.462,-1.58,-3.08,0,0,5,1,0,4,836,790,,63.8,100.7,.331,.418,.551,45.9,59.0,10.0,5.9,.517,17.6,22.4,.243
91,Eastern Washington,11,7,4,.636,3.86,2.20,0,0,5,0,2,4,984,830,,79.7,112.2,.257,.417,.572,51.6,56.5,11.1,8.6,.553,14.8,30.3,.176
92,Yale,13,10,3,.769,8.99,1.40,0,0,3,0,5,3,955,807,,68.0,102.1,.327,.417,.564,53.3,61.3,8.6,10.6,.542,18.2,24.1,.220
93,Western Michigan,12,7,5,.583,-8.43,-4.23,0,0,5,1,2,2,881,854,,69.7,102.2,.439,.416,.526,48.9,45.8,8.1,5.8,.480,14.1,25.6,.312
94,Texas A&M,10,5,5,.500,-3.03,0.67,0,0,5,1,0,0,577,614,,66.7,86.5,.414,.416,.477,48.5,56.0,10.2,12.9,.433,20.0,26.7,.277
95,Richmond,12,10,2,.833,9.31,0.39,0,0,7,0,2,0,914,807,,67.6,110.4,.211,.415,.582,48.4,61.1,11.4,8.1,.557,14.5,23.2,.167
96,Louisiana Tech,12,9,3,.750,6.15,-5.45,0,0,7,0,2,3,938,736,,71.2,109.7,.281,.415,.556,51.8,54.2,11.6,7.0,.536,14.8,30.8,.190
97,Army,11,5,6,.455,-14.60,-7.50,0,0,3,2,2,4,769,803,,71.8,96.2,.286,.415,.541,49.1,63.7,8.8,4.1,.535,18.6,21.0,.158
98,Chattanooga,13,8,5,.615,-3.34,-1.76,0,1,4,0,2,5,913,884,,68.7,101.3,.261,.414,.525,49.8,54.1,7.2,4.2,.502,16.0,28.3,.177
99,Jacksonville,14,7,7,.500,-4.05,-2.64,0,0,3,1,3,4,943,928,,68.7,96.3,.333,.414,.513,52.3,50.8,7.6,5.9,.484,17.9,26.7,.221
100,Liberty,14,14,0,1.000,10.32,-4.26,0,0,6,0,2,0,1003,723,,62.8,114.1,.345,.413,.595,54.8,54.7,8.3,10.4,.570,14.4,25.8,.246
101,Arkansas,11,10,1,.909,16.44,0.81,0,0,8,0,1,1,826,654,,72.6,101.1,.355,.413,.552,48.7,50.2,13.3,13.3,.513,16.8,21.9,.264
102,Northwestern State,10,3,7,.300,-17.38,-0.13,1,1,3,1,0,6,665,769,,72.8,91.3,.261,.413,.505,48.1,49.4,8.2,10.7,.477,20.1,27.2,.181
103,Penn State,12,10,2,.833,16.19,3.10,1,1,8,0,1,1,955,798,,74.3,107.1,.321,.412,.542,52.9,56.4,12.6,17.1,.514,15.1,31.9,.223
104,Boise State,13,8,5,.615,5.55,2.46,1,1,5,1,1,3,1021,907,,70.7,107.0,.368,.412,.561,50.8,51.6,8.3,3.6,.524,14.6,23.8,.270
105,Buffalo,12,8,4,.667,0.68,-0.96,0,0,4,2,1,1,967,912,,75.9,106.1,.272,.412,.532,52.2,57.9,12.2,9.6,.517,16.1,36.2,.168
106,Tennessee Tech,12,3,9,.250,-14.54,0.86,0,0,2,3,1,4,745,847,,69.0,89.1,.188,.412,.487,49.0,51.4,9.7,8.0,.470,20.7,28.7,.121
