Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
69,Cornell,10,1,9,.100,-8.47,-3.47,0,0,1,2,0,7,650,700,,65.4,105.7,.289,.406,.543,50.8,52.8,9.2,13.3,.519,15.8,29.8,.196
70,Creighton,12,10,2,.833,12.28,3.45,0,0,8,0,1,1,935,829,,70.9,96.4,.243,.383,.505,49.9,46.0,7.4,9.0,.478,16.3,26.5,.170
71,Dartmouth,13,7,6,.538,-4.46,-6.04,0,0,3,1,3,4,885,817,,67.0,92.1,.267,.441,.493,48.0,54.8,8.1,7.7,.483,16.6,21.3,.146
72,Davidson,11,6,5,.545,9.34,4.16,0,0,3,0,2,1,772,715,,66.6,97.5,.344,.361,.529,51.7,44.2,6.8,6.8,.499,17.5,24.4,.232
73,Dayton,12,10,2,.833,20.86,3.36,0,0,7,0,0,0,1005,795,,68.6,94.6,.318,.327,.514,47.3,46.0,8.2,6.0,.483,18.2,26.4,.217
74,Delaware State,13,1,12,.077,-20.82,-2.48,0,0,1,4,0,7,932,1115,,76.5,112.1,.438,.431,.609,54.6,61.0,10.6,8.4,.578,17.9,28.9,.314
75,Delaware,13,10,3,.769,0.60,-4.74,0,0,4,0,2,2,981,871,,69.5,95.5,.264,.409,.501,49.7,51.4,9.2,6.5,.473,15.9,25.4,.181
76,Denver,14,4,10,.286,-12.29,-1.52,0,0,3,3,0,6,895,1018,,70.6,102.0,.336,.458,.555,52.3,52.5,9.8,7.4,.524,17.5,24.3,.239
77,DePaul,13,12,1,.923,9.76,-0.41,0,0,8,1,4,0,1003,852,,73.3,88.5,.329,.404,.485,48.7,51.5,10.0,7.4,.444,21.3,29.8,.235
78,Detroit Mercy,12,2,10,.167,-12.83,0.34,0,0,1,3,0,6,801,959,,71.3,112.0,.316,.432,.581,52.7,63.7,9.2,11.9,.545,15.6,29.3,.245
79,Drake,13,10,3,.769,0.49,-2.24,0,0,7,0,1,2,932,839,,70.0,92.2,.278,.405,.521,47.3,46.1,9.9,8.1,.489,19.8,21.3,.203
80,Drexel,13,7,6,.538,-3.93,-0.68,0,0,5,1,0,5,905,911,,70.0,99.1,.263,.311,.514,48.0,45.2,12.2,8.8,.484,15.8,28.2,.189
81,Duke,11,10,1,.909,26.05,7.23,1,0,5,1,2,0,920,713,,73.6,87.2,.278,.271,.490,43.2,50.5,9.3,9.4,.467,20.4,24.5,.176
82,Duquesne,11,10,1,.909,11.70,-2.85,0,0,5,0,0,0,818,658,,68.3,87.5,.309,.367,.490,46.3,42.0,7.8,6.7,.456,19.9,23.7,.208
83,East Carolina,12,5,7,.417,-4.35,-3.85,0,0,4,2,0,3,852,858,,71.7,99.8,.376,.426,.541,47.3,53.4,8.7,8.5,.506,17.0,23.2,.263
84,East Tennessee State,13,11,2,.846,8.24,-1.12,1,0,7,0,4,2,1023,835,,69.3,92.7,.330,.359,.504,45.4,47.5,9.9,8.0,.469,19.8,27.7,.229
85,Eastern Illinois,12,7,5,.583,-0.24,-6.54,0,0,3,0,3,4,931,775,,72.9,88.6,.326,.362,.488,46.6,47.9,8.2,7.6,.446,20.2,27.1,.234
86,Eastern Kentucky,12,3,9,.250,-16.88,-0.88,0,0,3,2,0,5,880,918,,79.1,96.7,.399,.359,.563,54.2,56.2,10.2,8.3,.517,23.8,31.0,.307
87,Eastern Michigan,11,9,2,.818,-4.50,-0.38,0,0,5,0,2,2,746,672,,68.5,89.1,.274,.491,.512,48.9,59.7,10.6,9.9,.496,24.3,30.3,.165
88,Eastern Washington,11,7,4,.636,3.86,2.20,0,0,5,0,2,4,984,830,,79.7,94.6,.347,.374,.507,48.4,57.2,9.2,8.3,.464,18.1,27.8,.252
89,Elon,13,4,9,.308,-11.45,-0.75,0,0,4,3,0,6,882,911,,70.2,98.9,.367,.412,.522,51.8,51.5,9.1,12.2,.484,15.6,24.1,.258
90,Evansville,13,9,4,.692,-3.93,-3.35,0,0,5,1,3,1,1015,1004,,71.4,104.1,.332,.296,.539,52.9,39.7,6.8,6.4,.504,15.4,28.9,.240
91,Fairfield,10,3,7,.300,-4.67,-0.27,0,0,0,3,2,2,611,655,,64.4,98.1,.338,.396,.532,50.1,55.0,9.7,8.6,.501,17.3,25.0,.234
92,Fairleigh Dickinson,11,2,9,.182,-13.33,-0.43,0,0,2,1,0,8,739,819,,68.6,108.6,.323,.391,.555,55.1,60.2,8.2,7.5,.528,16.9,35.7,.223
93,Florida A&M,10,1,9,.100,-11.98,3.62,0,0,0,0,1,7,592,748,,71.4,104.8,.402,.350,.549,55.8,54.0,10.6,10.7,.520,17.8,35.0,.267
94,Florida Atlantic,12,8,4,.667,-4.79,-6.13,0,0,7,1,1,3,879,802,,70.9,93.3,.271,.376,.524,46.3,51.9,9.4,6.0,.497,20.6,24.1,.189
95,Florida Gulf Coast,14,3,11,.214,-15.28,-2.53,0,0,3,5,0,6,856,973,,69.9,98.6,.335,.390,.512,52.0,48.7,11.3,10.6,.479,17.8,32.8,.228
96,Florida International,12,9,3,.750,0.72,-8.51,0,0,5,0,3,2,1009,845,,78.4,89.8,.341,.337,.467,51.8,42.1,10.1,8.2,.424,19.7,35.8,.238
97,Florida State,12,10,2,.833,16.76,3.85,1,1,6,0,1,2,908,753,,69.8,89.0,.384,.419,.497,49.1,40.7,7.8,6.9,.451,22.8,31.3,.275
98,Florida,11,7,4,.636,13.06,7.61,0,0,3,1,0,2,748,688,,67.2,93.1,.324,.387,.485,47.8,55.8,8.3,8.6,.448,17.0,27.7,.223
99,Fordham,11,5,6,.455,-4.41,-6.51,0,0,4,4,0,0,683,660,,66.2,89.7,.312,.421,.496,51.1,53.5,10.2,5.2,.457,21.3,28.3,.224
100,Fresno State,12,4,8,.333,3.06,1.97,0,2,3,2,1,5,861,804,,65.6,97.9,.385,.387,.507,46.7,48.7,9.0,8.3,.457,14.6,24.9,.287
101,Furman,14,11,3,.786,8.55,-1.63,1,0,6,0,4,3,1100,896,,69.7,91.1,.229,.383,.511,51.7,54.1,7.9,9.9,.486,21.6,28.6,.161
102,Gardner-Webb,12,4,8,.333,-6.94,2.56,0,0,2,1,0,7,803,860,,68.8,104.2,.303,.467,.535,51.6,58.6,8.6,7.3,.502,15.1,29.4,.221
103,George Mason,12,11,1,.917,4.88,-2.79,0,0,8,0,0,1,852,760,,67.8,92.5,.247,.397,.466,46.4,47.9,7.4,6.9,.445,15.7,29.1,.152
104,George Washington,11,5,6,.455,-5.40,-4.31,0,0,3,3,0,2,745,757,,67.9,101.3,.295,.234,.505,51.8,38.1,9.4,9.9,.470,13.4,29.8,.210
105,Georgetown,12,9,3,.750,13.77,4.69,0,0,6,2,2,0,984,875,,74.7,97.5,.289,.417,.519,44.4,57.4,10.5,6.7,.487,17.6,27.2,.208
106,Georgia Southern,13,8,5,.615,-1.59,0.14,2,0,6,0,1,4,1017,952,,75.6,96.8,.279,.363,.547,52.0,51.4,7.1,7.6,.516,21.6,28.2,.208
107,Georgia State,12,8,4,.667,5.36,3.36,2,0,5,0,2,4,959,868,,74.1,95.6,.426,.395,.513,50.6,58.0,8.5,9.3,.452,19.6,32.7,.328
108,Georgia Tech,12,6,6,.500,5.29,5.87,1,1,3,3,2,2,792,799,,72.5,90.0,.327,.331,.482,50.7,54.3,10.4,7.3,.437,18.3,28.1,.238
109,Georgia,11,8,3,.727,8.35,1.75,0,0,7,0,1,1,908,839,,75.2,99.2,.243,.376,.523,46.9,44.2,8.4,7.1,.507,17.7,29.7,.153
110,Gonzaga,14,13,1,.929,22.19,2.05,0,0,8,0,3,0,1235,953,,73.3,92.1,.221,.345,.499,44.0,45.7,8.5,7.2,.473,17.4,23.1,.155
