Rk,School,G-O,W-O,L-O,W-L%-O,SRS,SOS,W-C,L-C,W-H,L-H,W-A,L-A,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
23,Belmont,12,8,4,.667,5.91,-4.18,0,0,5,0,3,3,978,818,,480,370,775,.477,126,341,.370,112,159,.704,107,473,218,88,48,163,185
24,Bethune-Cookman,13,6,7,.462,-9.71,-3.61,0,0,3,0,1,7,948,905,,520,340,811,.419,81,252,.321,187,263,.711,149,504,169,104,44,187,257
25,Binghamton,12,5,7,.417,-14.72,-3.54,0,0,4,1,1,6,836,938,,485,310,746,.416,115,349,.330,101,149,.678,136,444,144,50,38,162,187
26,Boise State,13,8,5,.615,5.55,2.46,1,1,5,1,1,3,1021,907,,540,351,775,.453,110,319,.345,209,285,.733,109,462,181,79,19,156,199
27,Boston College,13,8,5,.615,3.19,1.03,2,0,5,4,2,1,879,851,,520,311,754,.412,95,297,.320,162,237,.684,118,450,177,118,35,192,201
28,Boston University,12,5,7,.417,-5.13,-1.41,0,0,3,1,2,4,833,846,,485,316,716,.441,77,256,.301,124,189,.656,121,425,139,67,23,147,188
29,Bowling Green State,12,8,4,.667,0.86,-0.64,0,0,5,0,0,1,913,855,,490,329,789,.417,96,296,.324,159,216,.736,138,499,167,78,32,133,223
30,Bradley,12,8,4,.667,4.43,-2.39,0,0,7,0,0,3,865,757,,480,311,718,.433,81,221,.367,162,233,.695,156,492,187,61,45,150,189
31,Brigham Young,14,10,4,.714,17.33,8.02,0,0,5,1,1,2,1089,933,,570,407,823,.495,147,359,.409,128,183,.699,87,472,241,71,25,172,232
32,Brown,10,5,5,.500,-6.85,-4.25,0,0,4,1,1,4,695,721,,400,247,607,.407,75,239,.314,126,177,.712,148,406,129,69,46,162,182
33,Bryant,12,8,4,.667,-1.24,-4.78,0,0,4,1,4,3,892,804,,485,326,764,.427,112,347,.323,128,195,.656,145,504,178,101,57,176,228
34,Bucknell,12,4,8,.333,-8.98,0.77,0,0,2,1,1,5,834,951,,480,292,705,.414,99,298,.332,151,205,.737,113,389,140,69,36,171,234
35,Buffalo,12,8,4,.667,0.68,-0.96,0,0,4,2,1,1,967,912,,480,359,805,.446,114,332,.343,135,219,.616,180,501,208,111,50,175,223
36,Butler,12,11,1,.917,17.88,3.55,0,0,7,0,1,1,833,661,,480,301,624,.482,84,229,.367,147,207,.710,94,398,173,62,32,125,192
37,Cal Poly,12,2,10,.167,-11.88,2.76,0,0,2,2,0,6,750,867,,480,277,656,.422,74,216,.343,122,186,.656,92,359,119,71,17,168,229
38,Cal State Bakersfield,14,6,8,.429,-6.90,-0.53,0,0,5,3,1,5,1024,974,,575,386,843,.458,70,223,.314,182,262,.695,195,548,176,97,45,205,304
39,Cal State Fullerton,13,3,10,.231,-8.18,0.73,0,0,1,4,1,5,779,866,,520,282,703,.401,65,237,.274,150,224,.670,94,428,134,74,41,174,230
40,Cal State Northridge,13,3,10,.231,-10.24,2.68,0,0,2,2,1,7,922,1042,,520,330,775,.426,103,286,.360,159,225,.707,121,424,176,77,34,171,228
41,California Baptist,12,8,4,.667,0.29,-6.89,0,0,7,2,1,2,983,848,,485,328,727,.451,125,323,.387,202,262,.771,132,498,180,44,39,163,213
